Library	Data Size	Compression	Success	Time
dankogai-js-deflate Level(6)	17851	25.752%	OK	4
onicios-deflate Level(6)	17851	25.752%	OK	4.54
Stuck-jszip	17851	26.441%	FAILURE	14.18
hiddentao-lzw-async	17851	44.972%	OK	16
lzwjs	17851	48.048%	OK	14.36
rozetta-lzw	17851	32.435%	OK	5.34
saw-JS_LZW	17851	32.838%	FAILURE	6.44
jsend	17851	58.736%	FAILURE	7.24
jslzjb	17851	60.753%	FAILURE	1.44
dankogai-js-deflate Level(6)	27984	21.866%	OK	5.32
onicios-deflate Level(6)	27984	21.866%	OK	6.02
Stuck-jszip	27984	22.352%	FAILURE	20.32
hiddentao-lzw-async	27984	43.078%	OK	19.96
lzwjs	27984	42.885%	OK	17.34
rozetta-lzw	27984	28.220%	OK	7.9
saw-JS_LZW	27984	28.477%	FAILURE	9.68
jsend	27984	52.462%	FAILURE	10.22
jslzjb	27984	58.448%	FAILURE	1.66
dankogai-js-deflate Level(6)	42014	20.812%	OK	7.74
onicios-deflate Level(6)	42014	20.812%	OK	8.08
Stuck-jszip	42014	21.122%	FAILURE	30.4
hiddentao-lzw-async	42014	44.235%	OK	28.42
lzwjs	42014	40.853%	OK	106.78
rozetta-lzw	42014	25.825%	OK	10.5
saw-JS_LZW	42014	25.994%	FAILURE	14.12
jsend	42014	49.929%	FAILURE	14.18
jslzjb	42014	58.566%	FAILURE	2.28
dankogai-js-deflate Level(6)	61684	19.193%	OK	11.24
onicios-deflate Level(6)	61684	19.193%	OK	12.78
Stuck-jszip	61684	19.407%	FAILURE	41.76
hiddentao-lzw-async	61684	40.294%	OK	40.38
lzwjs	61684	37.381%	OK	35.52
rozetta-lzw	61684	23.050%	OK	15.34
saw-JS_LZW	61684	23.165%	FAILURE	20.7
jsend	61684	45.822%	FAILURE	20.76
jslzjb	61684	58.140%	FAILURE	2.84
dankogai-js-deflate Level(6)	111927	17.860%	OK	19.6
onicios-deflate Level(6)	111927	17.860%	OK	21.74
Stuck-jszip	111927	17.988%	FAILURE	97.36
hiddentao-lzw-async	111927	37.471%	OK	66.88
lzwjs	111927	33.086%	OK	74.62
rozetta-lzw	111927	19.475%	OK	28.58
saw-JS_LZW	111927	19.539%	FAILURE	40.88
jsend	111927	40.581%	FAILURE	36.7
jslzjb	111927	56.935%	FAILURE	4.84
