Library	Data Size	Compression	Success	Time
dankogai-js-deflate Level(6)	17851	25.752%	OK	14
onicios-deflate Level(6)	17851	25.752%	OK	12
Stuck-jszip	17851	26.441%	FAILURE	35
hiddentao-lzw-async	17851	44.972%	OK	25
lzwjs	17851	48.048%	OK	35
rozetta-lzw	17851	32.435%	OK	627
saw-JS_LZW	17851	32.838%	FAILURE	15
jsend	17851	58.736%	FAILURE	331
jslzjb	17851	60.753%	FAILURE	3
nmrugg-LZMA-JS Level(6)	17851	24.514%	FAILURE	3315
olle-lz77-kit	17851	84.819%	OK	574
dankogai-js-deflate Level(6)	27984	21.866%	OK	13
onicios-deflate Level(6)	27984	21.866%	OK	14
Stuck-jszip	27984	22.352%	FAILURE	49
hiddentao-lzw-async	27984	43.078%	OK	38
lzwjs	27984	42.885%	OK	37
rozetta-lzw	27984	28.220%	OK	306
saw-JS_LZW	27984	28.477%	FAILURE	21
jsend	27984	52.462%	FAILURE	575
jslzjb	27984	58.448%	FAILURE	6
nmrugg-LZMA-JS Level(6)	27984	20.622%	FAILURE	2929
olle-lz77-kit	27984	85.199%	OK	925
dankogai-js-deflate Level(6)	42014	20.812%	OK	19
onicios-deflate Level(6)	42014	20.812%	OK	21
Stuck-jszip	42014	21.122%	FAILURE	85
hiddentao-lzw-async	42014	44.235%	OK	50
lzwjs	42014	40.853%	OK	290
rozetta-lzw	42014	25.825%	OK	275
saw-JS_LZW	42014	25.994%	FAILURE	32
jsend	42014	49.929%	FAILURE	282
jslzjb	42014	58.566%	FAILURE	5
nmrugg-LZMA-JS Level(6)	42014	19.284%	FAILURE	3138
olle-lz77-kit	42014	84.831%	OK	1328
dankogai-js-deflate Level(6)	61684	19.193%	OK	26
onicios-deflate Level(6)	61684	19.193%	OK	27
Stuck-jszip	61684	19.407%	FAILURE	104
hiddentao-lzw-async	61684	40.294%	OK	2060
lzwjs	61684	37.381%	OK	82
rozetta-lzw	61684	23.050%	OK	35
saw-JS_LZW	61684	23.165%	FAILURE	69
jsend	61684	45.822%	FAILURE	84
jslzjb	61684	58.140%	FAILURE	7
nmrugg-LZMA-JS Level(6)	61684	17.530%	FAILURE	3549
olle-lz77-kit	61684	85.228%	OK	1991
dankogai-js-deflate Level(6)	111927	17.860%	OK	45
onicios-deflate Level(6)	111927	17.860%	OK	46
Stuck-jszip	111927	17.988%	FAILURE	248
hiddentao-lzw-async	111927	37.471%	OK	120
lzwjs	111927	33.086%	OK	169
rozetta-lzw	111927	19.475%	OK	333
saw-JS_LZW	111927	19.539%	FAILURE	98
jsend	111927	40.581%	FAILURE	85
jslzjb	111927	56.935%	FAILURE	14
nmrugg-LZMA-JS Level(6)	111927	15.860%	FAILURE	4111
olle-lz77-kit	111927	85.609%	OK	3762
