Library	Data Size	Compression	Success	Time
dankogai-js-deflate Level(2)	17851	27.533%	FAILURE	7
dankogai-js-deflate Level(4)	17851	26.099%	OK	14
dankogai-js-deflate Level(6)	17851	25.752%	OK	25
dankogai-js-deflate Level(8)	17851	25.707%	OK	29
nmrugg-LZMA-JS Level(2)	17851	24.503%	FAILURE	877
nmrugg-LZMA-JS Level(4)	17851	24.497%	FAILURE	647
nmrugg-LZMA-JS Level(6)	17851	24.514%	FAILURE	2732
nmrugg-LZMA-JS Level(8)	17851	24.514%	FAILURE	8804
dankogai-js-deflate Level(2)	27984	23.531%	OK	34
dankogai-js-deflate Level(4)	27984	22.370%	OK	31
dankogai-js-deflate Level(6)	27984	21.866%	OK	29
dankogai-js-deflate Level(8)	27984	21.784%	OK	34
nmrugg-LZMA-JS Level(2)	27984	20.669%	FAILURE	658
nmrugg-LZMA-JS Level(4)	27984	20.673%	FAILURE	871
nmrugg-LZMA-JS Level(6)	27984	20.622%	FAILURE	3193
nmrugg-LZMA-JS Level(8)	27984	20.601%	FAILURE	9394
dankogai-js-deflate Level(2)	42014	22.800%	OK	36
dankogai-js-deflate Level(4)	42014	21.355%	OK	30
dankogai-js-deflate Level(6)	42014	20.812%	OK	39
dankogai-js-deflate Level(8)	42014	20.705%	OK	45
nmrugg-LZMA-JS Level(2)	42014	19.374%	FAILURE	1155
nmrugg-LZMA-JS Level(4)	42014	19.372%	FAILURE	1316
nmrugg-LZMA-JS Level(6)	42014	19.284%	FAILURE	3567
nmrugg-LZMA-JS Level(8)	42014	19.265%	FAILURE	9810
dankogai-js-deflate Level(2)	61684	21.271%	OK	38
dankogai-js-deflate Level(4)	61684	19.743%	OK	36
dankogai-js-deflate Level(6)	61684	19.193%	OK	45
dankogai-js-deflate Level(8)	61684	19.050%	OK	45
nmrugg-LZMA-JS Level(2)	61684	17.650%	FAILURE	1497
nmrugg-LZMA-JS Level(4)	61684	17.646%	FAILURE	1641
nmrugg-LZMA-JS Level(6)	61684	17.530%	FAILURE	4137
nmrugg-LZMA-JS Level(8)	61684	17.484%	FAILURE	10535
dankogai-js-deflate Level(2)	111927	19.854%	OK	49
dankogai-js-deflate Level(4)	111927	18.408%	OK	69
dankogai-js-deflate Level(6)	111927	17.860%	OK	58
dankogai-js-deflate Level(8)	111927	17.723%	OK	83
nmrugg-LZMA-JS Level(2)	111927	16.043%	FAILURE	2614
nmrugg-LZMA-JS Level(4)	111927	16.045%	FAILURE	2701
nmrugg-LZMA-JS Level(6)	111927	15.860%	FAILURE	6017
nmrugg-LZMA-JS Level(8)	111927	15.813%	FAILURE	12678
